GeneSymbol	chip
TGFBR2	SARS
FLT1	HSPA5
ATF3	AKAP6
RUNX1	ARNT
CREBBP	LPAR1
NFIL3	AFG3L1P
CDK4	IRF2BP2
WASH5P	PLA2R1
ALCAM	NFIB
TNFRSF10B	EIF3F
SLC43A3	TMEM194A
PTPN11	TRIB3
NF2	LOC399829
PIK3R3	RTN3
EPHB1	MAPK1
EPHB4	UNC5B
CCNG2	PMS1
RPS2	BEST1
MAPK6	PRKCE
DAB2	CLIP1
LURAP1L	FKBP9
MEF2A	ANO6
C11orf30	LOC152225
C17orf51	LONP1
NEK2	CATSPERD
LRIG1	SRGAP1
PRKACB	ASAP1
AAK1	MYO6
PTPRG	NFE2L1
ETV5	CEBPB
CEBPG	C8orf84
SIX1	SMYD3
RPS20	AKT3
MTRNR2L1	DEC1
NEDD9	TRIM25
ITSN1	HIST2H3C
TMUB1	HIST2H3A
OSMR	HIST2H2BC
STK4	HIST2H2AA4
DPYSL3	HIST2H2AA3
KDM2A	PTPRN2
NEDD4	AKNA
CDK17	HSPA9
TJP1	MRVI1-AS1
KHDRBS1	MRVI1
NASP	TRIOBP
S1PR1	C5orf56
STIL	NBR2
SYNE1	LOC100132354
IFI16	BRCA1
CSDA	PDGFC
ATF5	SESN2
GNB2L1	KITLG
MAP1B	ZNF710
PVRL2	ZNF827
ZFHX4	LINC00317
FNDC3B	FKBP9L
FAM129A	APP
SH3BP4	RNF187
CDH13	PACRG
RAPH1	SERPINB8
SH3KBP1	MKNK2
ALPK1	PMS2
MICAL2	AIMP2
ABCG2	AFF3
ARID1A	PTPRK
NGF	LOC100192378
FOXP1	LOC284648
NHS	C10orf76
RCAN1	SYBU
YWHAH	ATP9A
SSR3	MAD2L1BP
HMGN2	GTPBP2
SAMD12	LARP6
GNAS	MBD6
BRE	DDIT3
KIAA0556	SH3TC2
BRD4	ITGA8
PARVA	ZFAND1
GRK6	CHMP4C
MAST2	JMY
KLF2	TMEM19
HK2	KIAA1549
MARCKSL1	GRIK5
ST3GAL1	DPYSL2
RAPGEF1	SERPINE2
SPTBN1	LURAP1L
APOLD1	KIAA1324
RPGRIP1L	TBL1X
ADAM12	KCNMA1
CRISPLD1	SLFN5
MICA	CALML6
KIF2C	SPIRE1
TRIM2	MRPL48
ATP2B1	TBC1D23
MAP1LC3B	KLHL36
GTPBP2	MRPS27
ZNF207	KLHDC7B
MGAT5	NFE2L2
RPTOR	CSNK2A1
TNIK	MYO1D
PPP6R3	CTIF
CLCN3	ANKRD55
ZBTB7B	EFCAB4B
RAD54L2	ARHGEF2
UCHL1	SORCS1
ST5	RIMS2
ATP1B1	ABCG1
OCLN	CTPS
ZNF827	CAP2
SLAIN2	KDM6B
PTPRH	ZMYM1
GALNT7	MERTK
SRGAP2	FOXP1
C22orf32	GPC6
DIXDC1	CLIP4
SAV1	ATF6
EHD4	SYN3
GDAP2	MYLK
GLCE	TMEM136
RPL10	ARHGEF12
RBCK1	LIN52
SEPHS1	TLE4
JMY	RERE
SLC3A2	AHRR
XPC	TPCN1
FMN2	IQCD
EXO1	ZNF608
PDE4B	XPOT
PARVB	LOC100289178
MID1IP1	LINC00486
METAP1D	DLGAP1
MOSPD3	AFAP1
COPS4	ZBTB12
SKA2	C2
SERPINB8	PYGB
SAMD4A	RNF44
AKAP2	CDHR2
IPO4	VHL
RANBP10	SIAH1
CPD	MIR548AE2
ARL5B	LOC100506385
SLFN5	TOX2
DHX36	ODZ2
KLHL29	LRRC71
MFHAS1	CDCP1
SLC7A1	POLR3K
LSM12	CUL1
STIM1	SNORA84
CLSPN	MIR3651
COPS7A	IARS
GPR176	GPM6A
C5orf51	PARK2
GOT1	PLS1
UBE2Z	GMDS
C14orf101	FGGY
CAP2	ERN1
ARHGEF1	ERC2
RNF44	EPB41L4B
IQSEC1	LONP2
MAD1L1	FBN1
SEMA5A	FAM154A
MTR	TTC18
PDXK	MRPS16
DNAJC13	C10orf103
LSS	GRAMD1B
CAMTA2	STK4
AMMECR1L	RND3
IDH1	LOC100131234
XPOT	KIF6
APBB2	RPL10
SMC1A	KIAA1244
IFT88	NAV2
LARP6	CDH13
PCNXL2	CAMK1D
ATP6V0D1	LRBA
CLASP1	COL13A1
PHLDB2	ZMIZ1
EIF3L	MAPK6
AP3S2	HEATR6
TCEA1	SLC12A8
DTD1	SEPHS2
PSAP	BAD
DIEXF	SHOC2
SENP7	PCGF5
RMND5A	MED15
PNPLA8	FOXN3
RTKN2	BBIP1
FBLIM1	NSA2
ERO1L	GFM2
TULP4	UQCRC1
NCKAP5L	PLXNA4
FANCD2	METTL2B
ASB1	DDX19B
LCLAT1	AARS
UBN2	RNF145
ABR	RBCK1
TGS1	LOC100507651
CYFIP2	CECR2
PARD3B	BCL11A
GTF3C6	
PARP4	
ZNF529	
BTF3L4	
KLHL18	
C9orf3	
ANTXR2	
GALC	
TMEM41B	
EDEM1	
DIP2B	
SRBD1	
AHCY	
SCAMP4	
COMMD4	
SCN8A	
SLMO2	
C9orf16	
GBA	
GFPT1	
GINS3	
ANKRD40	
BLOC1S1	
ATIC	
SRPR	
GINS2	
MPI	
LSM3	
ISCU	
CDH4	
VARS2	
HLCS	
H6PD	
PREPL	
AARS	
