donwreg	chip
NOTCH1	SARS
COL1A1	HSPA5
ILK	AKAP6
SGK1	ARNT
COL4A1	LPAR1
SQSTM1	AFG3L1P
PDGFC	IRF2BP2
EPS8	PLA2R1
NRIP1	NFIB
GAS6	EIF3F
DDIT4	TMEM194A
SLIT2	TRIB3
GNG11	LOC399829
GEM	RTN3
PDE4D	MAPK1
RCC1	UNC5B
RBBP8	PMS1
MINK1	BEST1
COL16A1	PRKCE
PBX3	CLIP1
ITGA7	FKBP9
MGLL	ANO6
RAC3	LOC152225
ANXA2	LONP1
RIN1	CATSPERD
GDF15	SRGAP1
MAPK8IP3	ASAP1
FSCN1	MYO6
PRKAG2	NFE2L1
SMAD6	CEBPB
PPP1R13B	C8orf84
EHD1	SMYD3
SKAP2	AKT3
BCAR3	DEC1
MARK3	TRIM25
PLS3	HIST2H3C
P4HA2	HIST2H3A
PTPRU	HIST2H2BC
MPZL1	HIST2H2AA4
SEMA3A	HIST2H2AA3
STC1	PTPRN2
COL13A1	AKNA
PLCB4	HSPA9
IFI35	MRVI1-AS1
MOK	MRVI1
GPR126	TRIOBP
PLXNA2	C5orf56
CBX8	NBR2
HERPUD1	LOC100132354
CAPZB	BRCA1
LAYN	PDGFC
HIST1H2AC	SESN2
ATPIF1	KITLG
MKL1	ZNF710
BMPER	ZNF827
UBE2H	LINC00317
ZNF619	FKBP9L
DNAJC5	APP
TPCN1	RNF187
LEPREL1	PACRG
C1QTNF1	SERPINB8
KRT80	MKNK2
ALDH3A2	PMS2
SGK223	AIMP2
AMBRA1	AFF3
EHD3	PTPRK
VGLL3	LOC100192378
PSG9	LOC284648
ADAMTSL1	C10orf76
LYPD6	SYBU
HIST3H2A	ATP9A
CLMP	MAD2L1BP
ZBTB4	GTPBP2
ZNF655	LARP6
RAB20	MBD6
NPDC1	DDIT3
SLC22A4	SH3TC2
NEIL3	ITGA8
SMOX	ZFAND1
FAM172A	CHMP4C
AK5	JMY
ADAMTS6	TMEM19
FAM129B	KIAA1549
DNMBP	GRIK5
SLCO4A1	DPYSL2
CEP120	SERPINE2
SCOC	LURAP1L
ZNF185	KIAA1324
OIP5	TBL1X
BRMS1	KCNMA1
PPIG	SLFN5
RGS17	CALML6
KLHL21	SPIRE1
NME3	MRPL48
STMN3	TBC1D23
POLM	KLHL36
ANKRA2	MRPS27
RNF216P1	KLHDC7B
KAZN	NFE2L2
GTDC1	CSNK2A1
TPST1	MYO1D
COL27A1	CTIF
KIFC2	ANKRD55
TMCC3	EFCAB4B
C4orf32	ARHGEF2
TM4SF19	SORCS1
NDUFB3	RIMS2
RPS19BP1	ABCG1
FAM189B	CTPS
PLEKHH3	CAP2
BCAS4	KDM6B
TMEM51	ZMYM1
ANKRD10	MERTK
GRAMD1B	FOXP1
C1orf159	GPC6
LRRC45	CLIP4
LRRC8D	ATF6
SNHG11	SYN3
TACO1	MYLK
FAM196B	TMEM136
CSMD2	ARHGEF12
ARMC4	LIN52
	TLE4
	RERE
	AHRR
	TPCN1
	IQCD
	ZNF608
	XPOT
	LOC100289178
	LINC00486
	DLGAP1
	AFAP1
	ZBTB12
	C2
	PYGB
	RNF44
	CDHR2
	VHL
	SIAH1
	MIR548AE2
	LOC100506385
	TOX2
	ODZ2
	LRRC71
	CDCP1
	POLR3K
	CUL1
	SNORA84
	MIR3651
	IARS
	GPM6A
	PARK2
	PLS1
	GMDS
	FGGY
	ERN1
	ERC2
	EPB41L4B
	LONP2
	FBN1
	FAM154A
	TTC18
	MRPS16
	C10orf103
	GRAMD1B
	STK4
	RND3
	LOC100131234
	KIF6
	RPL10
	KIAA1244
	NAV2
	CDH13
	CAMK1D
	LRBA
	COL13A1
	ZMIZ1
	MAPK6
	HEATR6
	SLC12A8
	SEPHS2
	BAD
	SHOC2
	PCGF5
	MED15
	FOXN3
	BBIP1
	NSA2
	GFM2
	UQCRC1
	PLXNA4
	METTL2B
	DDX19B
	AARS
	RNF145
	RBCK1
	LOC100507651
	CECR2
	BCL11A
